transaction_id,amount,status,merchant_id,customer_id,transaction_date,payment_method
TXN001,450.0,COMPLETED,M001,C001,2024-01-15,UPI
TXN002,1200.5,COMPLETED,M002,C002,2024-01-15,CREDIT_CARD
TXN003,89.0,FAILED,M003,C003,2024-01-16,DEBIT_CARD
TXN004,3200.0,COMPLETED,M004,C001,2024-01-16,CREDIT_CARD
TXN005,250.0,PENDING,M001,C004,2024-01-17,UPI
TXN006,175.5,COMPLETED,M005,C002,2024-01-17,UPI
TXN007,540.0,FAILED,M006,C005,2024-01-18,DEBIT_CARD
TXN008,890.0,COMPLETED,M002,C003,2024-01-18,CREDIT_CARD
TXN009,65.0,COMPLETED,M007,C006,2024-01-19,UPI
TXN010,1450.0,COMPLETED,M008,C001,2024-01-19,CREDIT_CARD
TXN011,-50.0,FAILED,M003,C007,2024-01-20,DEBIT_CARD
,320.0,COMPLETED,M001,C004,2024-01-20,UPI
TXN012,780.0,COMPLETED,M004,C002,2024-01-21,CREDIT_CARD
TXN013,220.0,FAILED,M005,C008,2024-01-22,UPI
TXN014,990.0,COMPLETED,M006,C003,2024-01-23,DEBIT_CARD
TXN015,125.0,PENDING,M007,C005,2024-01-24,UPI
TXN012,780.0,COMPLETED,M004,C002,2024-01-21,CREDIT_CARD
TXN016,3400.0,COMPLETED,M008,C006,2024-01-25,CREDIT_CARD
TXN017,145.0,FAILED,MXXX,C009,2024-01-28,DEBIT_CARD
TXN018,560.0,COMPLETED,M001,C007,2024-01-31,UPI
